"","transect","start_x","start_y","direction","x","y","specifiedInclProb","AdjustedInclProb","cluster"
"1",1,348797.273936845,6287342.88548791,327.272727272727,348797.341516947,6287342.78033122,0.0178980413614661,0.0178980413614661,"NPZ.1"
"2",1,348797.273936845,6287342.88548791,327.272727272727,348797.331862647,6287342.79535361,0.0178980413614661,0.0178980413614661,"NPZ.1"
"3",1,348797.273936845,6287342.88548791,327.272727272727,348797.322208347,6287342.81037599,0.0178980413614661,0.0178980413614661,"NPZ.1"
"4",1,348797.273936845,6287342.88548791,327.272727272727,348797.312554046,6287342.82539837,0.0178980413614661,0.0178980413614661,"NPZ.1"
"5",1,348797.273936845,6287342.88548791,327.272727272727,348797.302899746,6287342.84042076,0.0178980413614661,0.0178980413614661,"NPZ.1"
"6",1,348797.273936845,6287342.88548791,327.272727272727,348797.293245446,6287342.85544314,0.0178980413614661,0.0178980413614661,"NPZ.1"
"7",1,348797.273936845,6287342.88548791,327.272727272727,348797.283591145,6287342.87046553,0.0178980413614661,0.0178980413614661,"NPZ.1"
"8",1,348797.273936845,6287342.88548791,327.272727272727,348797.273936845,6287342.88548791,0.0178980413614661,0.0178980413614661,"NPZ.1"
"9",1,348797.273936845,6287342.88548791,327.272727272727,348797.264282545,6287342.9005103,0.0178980413614661,0.0178980413614661,"NPZ.1"
"10",1,348797.273936845,6287342.88548791,327.272727272727,348797.254628244,6287342.91553268,0.0178980413614661,0.0178980413614661,"NPZ.1"
"11",1,348797.273936845,6287342.88548791,327.272727272727,348797.244973944,6287342.93055507,0.0178980413614661,0.0178980413614661,"NPZ.1"
"12",1,348797.273936845,6287342.88548791,327.272727272727,348797.235319644,6287342.94557745,0.0178980413614661,0.0178980413614661,"NPZ.1"
"13",1,348797.273936845,6287342.88548791,327.272727272727,348797.225665343,6287342.96059984,0.0178980413614661,0.0178980413614661,"NPZ.1"
"14",1,348797.273936845,6287342.88548791,327.272727272727,348797.216011043,6287342.97562222,0.0178980413614661,0.0178980413614661,"NPZ.1"
"15",1,348797.273936845,6287342.88548791,327.272727272727,348797.206356743,6287342.9906446,0.0178980413614661,0.0178980413614661,"NPZ.1"
"16",2,347405.273936845,6287896.88548791,327.272727272727,347405.341516947,6287896.78033122,0.00296808412947222,0.00296808412947222,"NPZ.1"
"17",2,347405.273936845,6287896.88548791,327.272727272727,347405.331862647,6287896.79535361,0.00296808412947222,0.00296808412947222,"NPZ.1"
"18",2,347405.273936845,6287896.88548791,327.272727272727,347405.322208347,6287896.81037599,0.00296808412947222,0.00296808412947222,"NPZ.1"
"19",2,347405.273936845,6287896.88548791,327.272727272727,347405.312554046,6287896.82539837,0.00296808412947222,0.00296808412947222,"NPZ.1"
"20",2,347405.273936845,6287896.88548791,327.272727272727,347405.302899746,6287896.84042076,0.00296808412947222,0.00296808412947222,"NPZ.1"
"21",2,347405.273936845,6287896.88548791,327.272727272727,347405.293245446,6287896.85544314,0.00296808412947222,0.00296808412947222,"NPZ.1"
"22",2,347405.273936845,6287896.88548791,327.272727272727,347405.283591145,6287896.87046553,0.00296808412947222,0.00296808412947222,"NPZ.1"
"23",2,347405.273936845,6287896.88548791,327.272727272727,347405.273936845,6287896.88548791,0.00296808412947222,0.00296808412947222,"NPZ.1"
"24",2,347405.273936845,6287896.88548791,327.272727272727,347405.264282545,6287896.9005103,0.00296808412947222,0.00296808412947222,"NPZ.1"
"25",2,347405.273936845,6287896.88548791,327.272727272727,347405.254628244,6287896.91553268,0.00296808412947222,0.00296808412947222,"NPZ.1"
"26",2,347405.273936845,6287896.88548791,327.272727272727,347405.244973944,6287896.93055507,0.00296808412947222,0.00296808412947222,"NPZ.1"
"27",2,347405.273936845,6287896.88548791,327.272727272727,347405.235319644,6287896.94557745,0.00296808412947222,0.00296808412947222,"NPZ.1"
"28",2,347405.273936845,6287896.88548791,327.272727272727,347405.225665343,6287896.96059984,0.00296808412947222,0.00296808412947222,"NPZ.1"
"29",2,347405.273936845,6287896.88548791,327.272727272727,347405.216011043,6287896.97562222,0.00296808412947222,0.00296808412947222,"NPZ.1"
"30",2,347405.273936845,6287896.88548791,327.272727272727,347405.206356743,6287896.9906446,0.00296808412947222,0.00296808412947222,"NPZ.1"
"31",3,348101.273936845,6287065.88548791,65.4545454545455,348101.160232846,6287065.83356104,0.0178980413614661,0.0178980413614661,"NPZ.1"
"32",3,348101.273936845,6287065.88548791,65.4545454545455,348101.176476274,6287065.84097916,0.0178980413614661,0.0178980413614661,"NPZ.1"
"33",3,348101.273936845,6287065.88548791,65.4545454545455,348101.192719703,6287065.84839729,0.0178980413614661,0.0178980413614661,"NPZ.1"
"34",3,348101.273936845,6287065.88548791,65.4545454545455,348101.208963131,6287065.85581541,0.0178980413614661,0.0178980413614661,"NPZ.1"
"35",3,348101.273936845,6287065.88548791,65.4545454545455,348101.22520656,6287065.86323354,0.0178980413614661,0.0178980413614661,"NPZ.1"
"36",3,348101.273936845,6287065.88548791,65.4545454545455,348101.241449988,6287065.87065166,0.0178980413614661,0.0178980413614661,"NPZ.1"
"37",3,348101.273936845,6287065.88548791,65.4545454545455,348101.257693416,6287065.87806979,0.0178980413614661,0.0178980413614661,"NPZ.1"
