"transect","x","y","direction","transect_inclusionProb"
1,79,157,196.363636363636,0.000677974851505731
2,52,167,32.7272727272727,8.95321035729833e-05
3,70,171,163.636363636364,0.000677974851505731
4,86,124,294.545454545455,8.95321035729833e-05
5,18,90,229.090909090909,7.30543509613493e-05
6,36,202,163.636363636364,0.000677974851505731
7,108,63,229.090909090909,8.95321035729833e-05
8,38,183,196.363636363636,8.95321035729833e-05
9,29,53,294.545454545455,7.30543509613493e-05
10,101,137,294.545454545455,0.000677974851505731
11,115,94,327.272727272727,0.000677974851505731
12,61,121,130.909090909091,8.95321035729833e-05
13,88,149,294.545454545455,0.000677974851505731
14,94,112,327.272727272727,8.95321035729833e-05
15,49,84,65.4545454545455,7.30543509613493e-05
16,45,196,0,0.000677974851505731
17,35,189,130.909090909091,8.95321035729833e-05
18,77,162,0,0.000677974851505731
19,28,206,196.363636363636,0.000677974851505731
20,64,150,130.909090909091,8.95321035729833e-05
