"transect","x","y","direction","transect_inclusionProb"
1,93,120,196.363636363636,0.000199449519326658
2,30,185,32.7272727272727,8.66762604366817e-05
3,79,157,163.636363636364,0.000199449519326658
4,61,55,294.545454545455,0.00011276783055511
5,52,167,229.090909090909,8.66762604366817e-05
6,106,87,163.636363636364,0.000199449519326658
7,70,171,229.090909090909,0.000199449519326658
8,86,124,196.363636363636,8.66762604366817e-05
9,68,23,294.545454545455,0.00011276783055511
10,27,78,294.545454545455,0.00011276783055511
11,18,90,327.272727272727,0.00011276783055511
12,54,35,130.909090909091,0.00011276783055511
13,36,202,294.545454545455,0.000199449519326658
14,108,63,327.272727272727,8.66762604366817e-05
15,72,146,65.4545454545455,0.000199449519326658
16,38,183,0,0.000199449519326658
17,29,53,130.909090909091,0.00011276783055511
18,101,137,0,0.000199449519326658
19,43,10,196.363636363636,0.00011276783055511
20,115,94,130.909090909091,0.000199449519326658
