"","X","transect","start_x","start_y","direction","specifiedInclProb","AdjustedInclProb","cluster","x","y","long","lat"
"1",1,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398801544633,-33.5530143319162,"115 23.9280926779805","-33 33.1808599149721"
"2",2,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398768279848,-33.553104035902,"115 23.9260967908796","-33 33.1862421541201"
"3",3,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.39873501499,-33.5531937398755,"115 23.9241008993995","-33 33.1916243925303"
"4",4,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.39870175006,-33.5532834438368,"115 23.9221050036004","-33 33.1970066302078"
"5",5,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398668485058,-33.5533731477859,"115 23.9201091034794","-33 33.2023888671538"
"6",6,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398635219983,-33.5534628517227,"115 23.9181131989802","-33 33.207771103362"
"7",7,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398601954836,-33.5535525556474,"115 23.91611729016","-33 33.2131533388439"
"8",8,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398568689617,-33.5536422595597,"115 23.9141213770199","-33 33.2185355735821"
"9",9,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398535424326,-33.5537319634599,"115 23.9121254595598","-33 33.2239178075943"
"10",10,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398502158962,-33.5538216673478,"115 23.9101295377205","-33 33.2293000408679"
"11",11,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398468893526,-33.5539113712236,"115 23.9081336115603","-33 33.2346822734158"
"12",12,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398435628017,-33.554001075087,"115 23.90613768102","-33 33.2400645052202"
"13",13,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398402362436,-33.5540907789383,"115 23.9041417461597","-33 33.2454467362981"
"14",14,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398369096783,-33.5541804827773,"115 23.9021458069804","-33 33.2508289666378"
"15",15,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398335831057,-33.5542701866041,"115 23.9001498634199","-33 33.256211196246"
"16",16,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398302565259,-33.5543598904187,"115 23.8981539155405","-33 33.2615934251221"
"17",17,1,351320.00012302,6286135.00001984,196.363636363636,0.000200843204156771,0.000200843204156771,"NPZ1",115.398269299389,-33.5544495942211,"115 23.8961579633401","-33 33.2669756532659"
