"","X","transect","start_x","start_y","direction","x","y","specifiedInclProb","AdjustedInclProb","cluster","x.1","y.1","longitude","latitude"
"30",30,2,334405.191138533,6286496.78059977,327.272727272727,334450.244539988,6286426.6761387,0.00887210575967737,0.00887210575967737,"HPZ2","115 13.00838282034","-33 32.9386489538942","115.13.5E","33.32.563S"
"31",31,2,334405.191138533,6286496.78059977,327.272727272727,334444.612864806,6286435.43919634,0.00887210575967737,0.00887210575967737,"HPZ2","115 13.0048421186395","-33 32.9338564988102","115.13.3E","33.32.560S"
"32",32,2,334405.191138533,6286496.78059977,327.272727272727,334438.981189624,6286444.20225397,0.00887210575967737,0.00887210575967737,"HPZ2","115 13.0013014233603","-33 32.9290640421959","115.13.1E","33.32.557S"
"33",33,2,334405.191138533,6286496.78059977,327.272727272727,334433.349514442,6286452.9653116,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9977607344403","-33 32.9242715840521","115.12.599E","33.32.555S"
"34",34,2,334405.191138533,6286496.78059977,327.272727272727,334427.71783926,6286461.72836924,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9942200519406","-33 32.9194791243661","115.12.597E","33.32.552S"
"35",35,2,334405.191138533,6286496.78059977,327.272727272727,334422.086164079,6286470.49142687,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9906793758001","-33 32.9146866631558","115.12.594E","33.32.549S"
"36",36,2,334405.191138533,6286496.78059977,327.272727272727,334416.454488897,6286479.2544845,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.98713870608","-33 32.9098942004101","115.12.592E","33.32.546S"
"37",37,2,334405.191138533,6286496.78059977,327.272727272727,334410.822813715,6286488.01754214,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9835980427199","-33 32.9051017361278","115.12.590E","33.32.543S"
"38",38,2,334405.191138533,6286496.78059977,327.272727272727,334405.191138533,6286496.78059977,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9800573857802","-33 32.900309270316","115.12.588E","33.32.540S"
"39",39,2,334405.191138533,6286496.78059977,327.272727272727,334399.559463351,6286505.54365741,0.00887210575967737,0.00887210575967737,"HPZ2","115 12.9765167351996","-33 32.8955168029679","115.12.586E","33.32.537S"
