"","transect","start_x","start_y","direction","x","y","specifiedInclProb","AdjustedInclProb","cluster","x.1","y.1","longitude","latitude"
"1",1,351349.273936845,6287342.88548791,327.272727272727,351619.594345573,6286922.2587215,0.00426652675367562,0.00426652675367562,"NPZ1",115.401759257468,-33.5470345118928,"115.24.63E","33.32.493S"
"2",1,351349.273936845,6287342.88548791,327.272727272727,351484.434141209,6287132.5721047,0.00426652675367562,0.00426652675367562,"NPZ1",115.400338857353,-33.5451195156431,"115.24.12E","33.32.424S"
"3",1,351349.273936845,6287342.88548791,327.272727272727,351349.273936845,6287342.88548791,0.00426652675367562,0.00426652675367562,"NPZ1",115.398918518837,-33.5432045043717,"115.23.561E","33.32.355S"
"4",1,351349.273936845,6287342.88548791,327.272727272727,351214.113732481,6287553.19887112,0.00426652675367562,0.00426652675367562,"NPZ1",115.397498241914,-33.5412894780822,"115.23.510E","33.32.286S"
"5",1,351349.273936845,6287342.88548791,327.272727272727,351078.953528117,6287763.51225433,0.00426652675367562,0.00426652675367562,"NPZ1",115.396078026574,-33.5393744367781,"115.23.459E","33.32.217S"
"6",2,349493.273936845,6286234.88548791,294.545454545455,349948.089934522,6286027.17798141,0.00426652675367562,0.00426652675367562,"NPZ2",115.383610989986,-33.554870859499,"115.23.10E","33.33.175S"
"7",2,349493.273936845,6286234.88548791,294.545454545455,349720.681935684,6286131.03173466,0.00426652675367562,0.00426652675367562,"NPZ2",115.381179627742,-33.5539025141369,"115.22.522E","33.33.140S"
"8",2,349493.273936845,6286234.88548791,294.545454545455,349493.273936845,6286234.88548791,0.00426652675367562,0.00426652675367562,"NPZ2",115.378748321357,-33.5529341224765,"115.22.435E","33.33.106S"
"9",2,349493.273936845,6286234.88548791,294.545454545455,349265.865938006,6286338.73924116,0.00426652675367562,0.00426652675367562,"NPZ2",115.376317070833,-33.5519656845232,"115.22.347E","33.33.71S"
"10",2,349493.273936845,6286234.88548791,294.545454545455,349038.457939168,6286442.59299441,0.00426652675367562,0.00426652675367562,"NPZ2",115.373885876171,-33.5509972002822,"115.22.260E","33.33.36S"
"11",3,350421.273936845,6286788.88548791,327.272727272727,350691.594345573,6286368.2587215,0.00426652675367562,0.00426652675367562,"NPZ3",115.391674407835,-33.5518999706559,"115.23.300E","33.33.68S"
"12",3,350421.273936845,6286788.88548791,327.272727272727,350556.434141209,6286578.5721047,0.00426652675367562,0.00426652675367562,"NPZ3",115.390254160083,-33.549984864337,"115.23.249E","33.32.599S"
"13",3,350421.273936845,6286788.88548791,327.272727272727,350421.273936845,6286788.88548791,0.00426652675367562,0.00426652675367562,"NPZ3",115.388833973932,-33.5480697430102,"115.23.198E","33.32.531S"
"14",3,350421.273936845,6286788.88548791,327.272727272727,350286.113732481,6286999.19887112,0.00426652675367562,0.00426652675367562,"NPZ3",115.387413849375,-33.546154606679,"115.23.147E","33.32.462S"
"15",3,350421.273936845,6286788.88548791,327.272727272727,350150.953528117,6287209.51225433,0.00426652675367562,0.00426652675367562,"NPZ3",115.385993786403,-33.5442394553471,"115.23.96E","33.32.393S"
"16",1,334877.273936845,6285680.88548791,65.4545454545455,334422.457939168,6285473.17798141,0.00232362334530215,0.00232362334530215,"HPZ1",115.216330506951,-33.5575691395329,"115.12.588E","33.33.272S"
