"transect","start_Easting","start_Northing","direction","Easting","Northing","specifiedInclProb","AdjustedInclProb"
1,326525.273936845,6292882.88548791,261.818181818182,327020.184657785,6292954.04290705,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326968.088792423,6292946.5526524,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326915.992927061,6292939.06239776,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326863.897061699,6292931.57214311,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326811.801196337,6292924.08188847,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326759.705330975,6292916.59163382,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326707.609465613,6292909.10137917,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326655.51360025,6292901.61112453,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326603.417734888,6292894.12086988,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326551.321869526,6292886.63061524,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326499.226004164,6292879.14036059,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326447.130138802,6292871.65010594,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326395.03427344,6292864.1598513,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326342.938408077,6292856.66959665,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326290.842542715,6292849.17934201,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326238.746677353,6292841.68908736,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326186.650811991,6292834.19883271,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326134.554946629,6292826.70857807,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326082.459081267,6292819.21832342,6.65770215676437e-05,6.65770215676437e-05
1,326525.273936845,6292882.88548791,261.818181818182,326030.363215905,6292811.72806878,6.65770215676437e-05,6.65770215676437e-05
2,340213.273936845,6290389.88548791,98.1818181818182,339718.363215905,6290461.04290705,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,339770.459081267,6290453.5526524,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,339822.554946629,6290446.06239776,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,339874.650811991,6290438.57214311,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,339926.746677353,6290431.08188847,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,339978.842542715,6290423.59163382,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340030.938408077,6290416.10137917,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340083.03427344,6290408.61112453,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340135.130138802,6290401.12086988,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340187.226004164,6290393.63061524,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340239.321869526,6290386.14036059,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340291.417734888,6290378.65010594,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340343.51360025,6290371.1598513,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340395.609465613,6290363.66959665,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340447.705330975,6290356.17934201,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340499.801196337,6290348.68908736,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340551.897061699,6290341.19883271,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340603.992927061,6290333.70857807,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340656.088792423,6290326.21832342,4.09321081532124e-05,4.09321081532124e-05
2,340213.273936845,6290389.88548791,98.1818181818182,340708.184657785,6290318.72806878,4.09321081532124e-05,4.09321081532124e-05
3,348565.273936845,6298699.88548791,261.818181818182,349060.184657785,6298771.04290705,0.000132508186822586,0.000132508186822586
3,348565.273936845,6298699.88548791,261.818181818182,349008.088792423,6298763.5526524,0.000132508186822586,0.000132508186822586
3,348565.273936845,6298699.88548791,261.818181818182,348955.992927061,6298756.06239776,0.000132508186822586,0.000132508186822586
3,348565.273936845,6298699.88548791,261.818181818182,348903.897061699,6298748.57214311,0.000132508186822586,0.000132508186822586
3,348565.273936845,6298699.88548791,261.818181818182,348851.801196337,6298741.08188847,0.000132508186822586,0.000132508186822586
