"transect","Easting","Northing","direction","transect_inclusionProb"
1,326525.273936845,6292882.88548791,261.818181818182,0.00214172187477597
2,340213.273936845,6290389.88548791,98.1818181818182,0.00131674847189373
3,348565.273936845,6298699.88548791,261.818181818182,0.00341428903561699
4,344621.273936845,6296760.88548791,261.818181818182,0.00214172187477597
5,346245.273936845,6285403.88548791,98.1818181818182,0.00131674847189373
6,350653.273936845,6288173.88548791,261.818181818182,0.00214172187477597
7,336269.273936845,6301469.88548791,261.818181818182,0.00426266714284433
8,333949.273936845,6285680.88548791,261.818181818182,0.00214172187477597
9,354829.273936845,6295929.88548791,98.1818181818182,0.00214172187477597
10,322349.273936845,6292605.88548791,261.818181818182,0.00214172187477597
11,342533.273936845,6292328.88548791,98.1818181818182,0.00214172187477597
12,350885.273936845,6292605.88548791,294.545454545455,0.00240091624781319
13,340677.273936845,6290943.88548791,98.1818181818182,0.00426266714284433
14,339285.273936845,6298699.88548791,261.818181818182,0.00214172187477597
15,355525.273936845,6291774.88548791,261.818181818182,0.00131674847189373
16,347405.273936845,6297591.88548791,261.818181818182,0.00394452535263408
17,352741.273936845,6293713.88548791,98.1818181818182,0.00214172187477597
18,331397.273936845,6291220.88548791,261.818181818182,0.00131674847189373
19,360397.273936845,6304516.88548791,261.818181818182,0.00426266714284433
20,347637.273936845,6289558.88548791,261.818181818182,0.00131674847189373
