"","transect","start_x","start_y","direction","x","y","specifiedInclProb","AdjustedInclProb","cluster"
"1",1,349493.273936845,6285403.88548791,196.363636363636,349528.49050645,6285523.82210961,0.00956075800910292,0.00956075800910292,"NPZ.1"
"2",1,349493.273936845,6285403.88548791,196.363636363636,349525.555792316,6285513.82739114,0.00956075800910292,0.00956075800910292,"NPZ.1"
"3",1,349493.273936845,6285403.88548791,196.363636363636,349522.621078183,6285503.83267266,0.00956075800910292,0.00956075800910292,"NPZ.1"
"4",1,349493.273936845,6285403.88548791,196.363636363636,349519.686364049,6285493.83795419,0.00956075800910292,0.00956075800910292,"NPZ.1"
"5",1,349493.273936845,6285403.88548791,196.363636363636,349516.751649915,6285483.84323571,0.00956075800910292,0.00956075800910292,"NPZ.1"
"6",1,349493.273936845,6285403.88548791,196.363636363636,349513.816935781,6285473.84851724,0.00956075800910292,0.00956075800910292,"NPZ.1"
"7",1,349493.273936845,6285403.88548791,196.363636363636,349510.882221648,6285463.85379876,0.00956075800910292,0.00956075800910292,"NPZ.1"
"8",1,349493.273936845,6285403.88548791,196.363636363636,349507.947507514,6285453.85908029,0.00956075800910292,0.00956075800910292,"NPZ.1"
"9",1,349493.273936845,6285403.88548791,196.363636363636,349505.01279338,6285443.86436181,0.00956075800910292,0.00956075800910292,"NPZ.1"
"10",1,349493.273936845,6285403.88548791,196.363636363636,349502.078079246,6285433.86964334,0.00956075800910292,0.00956075800910292,"NPZ.1"
"11",1,349493.273936845,6285403.88548791,196.363636363636,349499.143365113,6285423.87492486,0.00956075800910292,0.00956075800910292,"NPZ.1"
"12",1,349493.273936845,6285403.88548791,196.363636363636,349496.208650979,6285413.88020639,0.00956075800910292,0.00956075800910292,"NPZ.1"
"13",1,349493.273936845,6285403.88548791,196.363636363636,349493.273936845,6285403.88548791,0.00956075800910292,0.00956075800910292,"NPZ.1"
"14",1,349493.273936845,6285403.88548791,196.363636363636,349490.339222711,6285393.89076944,0.00956075800910292,0.00956075800910292,"NPZ.1"
"15",1,349493.273936845,6285403.88548791,196.363636363636,349487.404508577,6285383.89605096,0.00956075800910292,0.00956075800910292,"NPZ.1"
"16",1,349493.273936845,6285403.88548791,196.363636363636,349484.469794444,6285373.90133249,0.00956075800910292,0.00956075800910292,"NPZ.1"
"17",1,349493.273936845,6285403.88548791,196.363636363636,349481.53508031,6285363.90661401,0.00956075800910292,0.00956075800910292,"NPZ.1"
"18",1,349493.273936845,6285403.88548791,196.363636363636,349478.600366176,6285353.91189554,0.00956075800910292,0.00956075800910292,"NPZ.1"
"19",1,349493.273936845,6285403.88548791,196.363636363636,349475.665652042,6285343.91717706,0.00956075800910292,0.00956075800910292,"NPZ.1"
"20",1,349493.273936845,6285403.88548791,196.363636363636,349472.730937909,6285333.92245859,0.00956075800910292,0.00956075800910292,"NPZ.1"
"21",1,349493.273936845,6285403.88548791,196.363636363636,349469.796223775,6285323.92774011,0.00956075800910292,0.00956075800910292,"NPZ.1"
"22",1,349493.273936845,6285403.88548791,196.363636363636,349466.861509641,6285313.93302164,0.00956075800910292,0.00956075800910292,"NPZ.1"
"23",1,349493.273936845,6285403.88548791,196.363636363636,349463.926795507,6285303.93830316,0.00956075800910292,0.00956075800910292,"NPZ.1"
"24",1,349493.273936845,6285403.88548791,196.363636363636,349460.992081374,6285293.94358469,0.00956075800910292,0.00956075800910292,"NPZ.1"
