"","transect","start_x","start_y","direction","x","y","specifiedInclProb","AdjustedInclProb","cluster","x.1","y.1","longitude","latitude"
"1",1,335333.191138533,6285665.78059977,98.1818181818182,335209.463458298,6285683.56995456,0.00887210575967737,0.00887210575967737,"HPZ1",115.224843706516,-33.555794251639,"115.13.294E","33.33.209S"
"2",1,335333.191138533,6285665.78059977,98.1818181818182,335219.774098317,6285682.08750832,0.00887210575967737,0.00887210575967737,"HPZ1",115.224954454828,-33.5558092085523,"115.13.298E","33.33.209S"
"3",1,335333.191138533,6285665.78059977,98.1818181818182,335230.084738337,6285680.60506209,0.00887210575967737,0.00887210575967737,"HPZ1",115.225065203182,-33.5558241653678,"115.13.302E","33.33.210S"
"4",1,335333.191138533,6285665.78059977,98.1818181818182,335240.395378357,6285679.12261586,0.00887210575967737,0.00887210575967737,"HPZ1",115.22517595158,-33.5558391220853,"115.13.306E","33.33.210S"
"5",1,335333.191138533,6285665.78059977,98.1818181818182,335250.706018376,6285677.64016963,0.00887210575967737,0.00887210575967737,"HPZ1",115.22528670002,-33.5558540787048,"115.13.310E","33.33.211S"
"6",1,335333.191138533,6285665.78059977,98.1818181818182,335261.016658396,6285676.1577234,0.00887210575967737,0.00887210575967737,"HPZ1",115.225397448503,-33.5558690352265,"115.13.314E","33.33.211S"
"7",1,335333.191138533,6285665.78059977,98.1818181818182,335271.327298415,6285674.67527716,0.00887210575967737,0.00887210575967737,"HPZ1",115.225508197028,-33.5558839916502,"115.13.318E","33.33.212S"
"8",1,335333.191138533,6285665.78059977,98.1818181818182,335281.637938435,6285673.19283093,0.00887210575967737,0.00887210575967737,"HPZ1",115.225618945596,-33.555898947976,"115.13.322E","33.33.212S"
"9",1,335333.191138533,6285665.78059977,98.1818181818182,335291.948578455,6285671.7103847,0.00887210575967737,0.00887210575967737,"HPZ1",115.225729694207,-33.5559139042039,"115.13.326E","33.33.213S"
"10",1,335333.191138533,6285665.78059977,98.1818181818182,335302.259218474,6285670.22793847,0.00887210575967737,0.00887210575967737,"HPZ1",115.225840442861,-33.5559288603339,"115.13.330E","33.33.213S"
"11",1,335333.191138533,6285665.78059977,98.1818181818182,335312.569858494,6285668.74549224,0.00887210575967737,0.00887210575967737,"HPZ1",115.225951191557,-33.5559438163659,"115.13.334E","33.33.214S"
"12",1,335333.191138533,6285665.78059977,98.1818181818182,335322.880498513,6285667.263046,0.00887210575967737,0.00887210575967737,"HPZ1",115.226061940296,-33.5559587723,"115.13.338E","33.33.215S"
"13",1,335333.191138533,6285665.78059977,98.1818181818182,335333.191138533,6285665.78059977,0.00887210575967737,0.00887210575967737,"HPZ1",115.226172689077,-33.5559737281362,"115.13.342E","33.33.215S"
"14",1,335333.191138533,6285665.78059977,98.1818181818182,335343.501778553,6285664.29815354,0.00887210575967737,0.00887210575967737,"HPZ1",115.226283437902,-33.5559886838745,"115.13.346E","33.33.216S"
"15",1,335333.191138533,6285665.78059977,98.1818181818182,335353.812418572,6285662.81570731,0.00887210575967737,0.00887210575967737,"HPZ1",115.226394186769,-33.5560036395149,"115.13.350E","33.33.216S"
"16",1,335333.191138533,6285665.78059977,98.1818181818182,335364.123058592,6285661.33326108,0.00887210575967737,0.00887210575967737,"HPZ1",115.226504935679,-33.5560185950573,"115.13.354E","33.33.217S"
"17",1,335333.191138533,6285665.78059977,98.1818181818182,335374.433698611,6285659.85081484,0.00887210575967737,0.00887210575967737,"HPZ1",115.226615684631,-33.5560335505018,"115.13.358E","33.33.217S"
"18",1,335333.191138533,6285665.78059977,98.1818181818182,335384.744338631,6285658.36836861,0.00887210575967737,0.00887210575967737,"HPZ1",115.226726433626,-33.5560485058484,"115.13.362E","33.33.218S"
"19",1,335333.191138533,6285665.78059977,98.1818181818182,335395.054978651,6285656.88592238,0.00887210575967737,0.00887210575967737,"HPZ1",115.226837182664,-33.5560634610971,"115.13.366E","33.33.218S"
"20",1,335333.191138533,6285665.78059977,98.1818181818182,335405.36561867,6285655.40347615,0.00887210575967737,0.00887210575967737,"HPZ1",115.226947931745,-33.5560784162479,"115.13.370E","33.33.219S"
"21",1,335333.191138533,6285665.78059977,98.1818181818182,335415.67625869,6285653.92102992,0.00887210575967737,0.00887210575967737,"HPZ1",115.227058680868,-33.5560933713007,"115.13.374E","33.33.219S"
"22",1,335333.191138533,6285665.78059977,98.1818181818182,335425.986898709,6285652.43858368,0.00887210575967737,0.00887210575967737,"HPZ1",115.227169430034,-33.5561083262556,"115.13.378E","33.33.220S"
"23",1,335333.191138533,6285665.78059977,98.1818181818182,335436.297538729,6285650.95613745,0.00887210575967737,0.00887210575967737,"HPZ1",115.227280179242,-33.5561232811126,"115.13.382E","33.33.220S"
"24",1,335333.191138533,6285665.78059977,98.1818181818182,335446.608178749,6285649.47369122,0.00887210575967737,0.00887210575967737,"HPZ1",115.227390928494,-33.5561382358716,"115.13.386E","33.33.221S"
"25",1,335333.191138533,6285665.78059977,98.1818181818182,335456.918818768,6285647.99124499,0.00887210575967737,0.00887210575967737,"HPZ1",115.227501677788,-33.5561531905327,"115.13.390E","33.33.222S"
"26",2,334405.191138533,6286496.78059977,327.272727272727,334472.771240715,6286391.62390817,0.00887210575967737,0.00887210575967737,"HPZ2",115.217042428184,-33.5492969793148,"115.13.14E","33.32.575S"
"27",2,334405.191138533,6286496.78059977,327.272727272727,334467.139565533,6286400.3869658,0.00887210575967737,0.00887210575967737,"HPZ2",115.216983416063,-33.5492171051656,"115.13.11E","33.32.572S"
